Derminants,Method to change,De-implementation strategies,Operationalization od de-implementations activities
"Attitude and behavior of homecare professionals ",Environmental re-evaluation,Involve consumers,"Conducting educational meetings to increase knowledge, create awareness, share experiences, provide feedback, discussed pros, cons and importance of reducing low-value home-based nursing care"
"Attitude and behavior of homecare professionals ",Environmental re-evaluation,Conduct educational meetings,"Conducting educational meetings to increase knowledge, create awareness, share experiences, provide feedback, discussed pros, cons and importance of reducing low-value home-based nursing care"
"Attitude and behavior of homecare professionals ",Environmental re-evaluation,Identify and prepare champions ,Prepare and train de-implementation ambassadors
Knowledge of homecare professionals  ,Advance organizers,Involve consumers,"Conducting educational meetings to increase knowledge, create awareness, share experiences, provide feedback, discussed pros, cons and importance of reducing low-value home-based nursing care"
Knowledge of homecare professionals  ,Advance organizers,Conduct educational meetings,"Conducting educational meetings to increase knowledge, create awareness, share experiences, provide feedback, discussed pros, cons and importance of reducing low-value home-based nursing care"
Awareness of homecare professionals ,Consciousness raising,Involve consumers,"Conducting educational meetings to increase knowledge, create awareness, share experiences, provide feedback, discussed pros, cons and importance of reducing low-value home-based nursing care"
Awareness of homecare professionals ,Consciousness raising,Conduct educational meetings,"Conducting educational meetings to increase knowledge, create awareness, share experiences, provide feedback, discussed pros, cons and importance of reducing low-value home-based nursing care"
Awareness of homecare professionals ,Framing,Conduct educational meetings,"Conducting educational meetings to increase knowledge, create awareness, share experiences, provide feedback, discussed pros, cons and importance of reducing low-value home-based nursing care"
Awareness of homecare professionals ,Environmental re-evaluation,Identify and prepare champions ,Prepare and train de-implementation ambassadors
Skills of homecare professionals ,Guided practice,Conduct educational outreach visits,Use of trained persons to provide educatio
Team culture  ,Resistance to social pressure,Conduct educational meetings,"Conducting educational meetings to increase knowledge, create awareness, share experiences, provide feedback, discussed pros, cons and importance of reducing low-value home-based nursing care"
Team culture  ,Resistance to social pressure,Identify and prepare champions ,Prepare and train de-implementation ambassadors
Team culture  ,Resistance to social pressure,Inform local opinion leaders,"Inform opinion leaders in the team, influencing colleagues with adopting the de-implementation"
"Maintenance of the de-implementation ",Counterconditioning,Audit and feedback,"Collect data over a period of time, summarize and submit to homecare professionals to monitor, evaluate and adjust behavior "
"Maintenance of the de-implementation  strategies "
"Maintenance of the de-implementation ",Public commitments ,Identify and prepare champions ,Prepare and train de-implementation ambassadors
